PERMNO,date,TICKER,PRC,VOL,RET
90448,2022-03-18,GLD,179.30000,13996452,-0.008790
90448,2022-03-21,GLD,180.67000,10582224,0.007641
90448,2022-03-22,GLD,179.36000,9621751,-0.007251
90448,2022-03-23,GLD,181.81000,12557272,0.013660
90448,2022-03-24,GLD,183.13000,10970070,0.007260
90448,2022-03-25,GLD,182.38000,7914035,-0.004095
90448,2022-03-28,GLD,179.06000,9489725,-0.018204
90448,2022-03-29,GLD,179.14000,10458927,0.000447
90448,2022-03-30,GLD,180.58000,8361286,0.008038
90448,2022-03-31,GLD,180.64999,9844398,0.000388
90448,2022-04-01,GLD,179.50000,13034395,-0.006366
90448,2022-04-04,GLD,180.37000,7063124,0.004847
90448,2022-04-05,GLD,179.24001,10828531,-0.006265
90448,2022-04-06,GLD,179.66000,8942121,0.002343
90448,2022-04-07,GLD,180.34000,10140585,0.003785
90448,2022-04-08,GLD,181.47000,10655681,0.006266
90448,2022-04-11,GLD,182.37000,10071319,0.004959
90448,2022-04-12,GLD,183.77000,12024560,0.007677
90448,2022-04-13,GLD,184.64999,8651635,0.004789
90448,2022-04-14,GLD,184.03999,11567178,-0.003304
90448,2022-04-18,GLD,184.61000,8886690,0.003097
90448,2022-04-19,GLD,181.82001,12585622,-0.015113
90448,2022-04-20,GLD,182.71001,7038625,0.004895
90448,2022-04-21,GLD,182.06000,9639834,-0.003558
90448,2022-04-22,GLD,180.28999,9146973,-0.009722
90448,2022-04-25,GLD,177.05000,13073688,-0.017971
90448,2022-04-26,GLD,177.32001,9042403,0.001525
90448,2022-04-27,GLD,175.98000,8854721,-0.007557
90448,2022-04-28,GLD,176.92999,6384762,0.005398
90448,2022-04-29,GLD,176.91000,7719702,-0.000113
90448,2022-05-02,GLD,173.63000,14318600,-0.018540
90448,2022-05-03,GLD,174.09000,7214348,0.002649
90448,2022-05-04,GLD,175.80000,10491681,0.009823
90448,2022-05-05,GLD,175.13000,12794160,-0.003811
90448,2022-05-06,GLD,175.42000,7643269,0.001656
90448,2022-05-09,GLD,172.88000,10742410,-0.014479
90448,2022-05-10,GLD,171.42000,11010440,-0.008445
90448,2022-05-11,GLD,172.82001,9179592,0.008167
90448,2022-05-12,GLD,170.17000,11626799,-0.015334
90448,2022-05-13,GLD,168.78999,13031057,-0.008110
90448,2022-05-16,GLD,170.39999,7319277,0.009538
90448,2022-05-17,GLD,169.33000,6441110,-0.006279
90448,2022-05-18,GLD,169.42000,7472850,0.000531
90448,2022-05-19,GLD,171.91000,10580267,0.014697
90448,2022-05-20,GLD,172.03000,6578056,0.000698
90448,2022-05-23,GLD,172.83000,5518503,0.004650
90448,2022-05-24,GLD,174.13000,6793991,0.007522
90448,2022-05-25,GLD,173.08000,4595917,-0.006030
90448,2022-05-26,GLD,172.75999,6466982,-0.001849
90448,2022-05-27,GLD,172.85001,3847871,0.000521
90448,2022-05-31,GLD,171.14000,6243967,-0.009893
90448,2022-06-01,GLD,172.23000,6946516,0.006369
90448,2022-06-02,GLD,174.35001,5623129,0.012309
90448,2022-06-03,GLD,172.58000,5519407,-0.010152
90448,2022-06-06,GLD,171.82001,3766042,-0.004404
90448,2022-06-07,GLD,172.94000,3860035,0.006518
